Experiment_Name,Test_MAE_Orig,Test_RMSE_Orig,Test_R2_Model_Scale,Best_Params
LGBM_Scaled_OutlierCapped,1015.3933933997787,1375.038601232357,0.5802213068482458,"{'colsample_bytree': 0.5766693352417515, 'learning_rate': 0.041584284217182896, 'max_depth': 11, 'min_child_samples': 42, 'n_estimators': 1679, 'num_leaves': 81, 'reg_alpha': 0.8474637334304624, 'reg_lambda': 2.784006312291751, 'subsample': 0.9744619096643123}"
LGBM_NoScale_OutlierCapped,1013.4878993038441,1374.5536882209396,0.5801186327457484,"{'colsample_bytree': 0.5766693352417515, 'learning_rate': 0.041584284217182896, 'max_depth': 11, 'min_child_samples': 42, 'n_estimators': 1679, 'num_leaves': 81, 'reg_alpha': 0.8474637334304624, 'reg_lambda': 2.784006312291751, 'subsample': 0.9744619096643123}"
LGBM_Scaled_NoOutlier,1034.9078960546522,1395.0259880646752,0.5668822742905988,"{'colsample_bytree': 0.5766693352417515, 'learning_rate': 0.041584284217182896, 'max_depth': 11, 'min_child_samples': 42, 'n_estimators': 1679, 'num_leaves': 81, 'reg_alpha': 0.8474637334304624, 'reg_lambda': 2.784006312291751, 'subsample': 0.9744619096643123}"
