"		90",속초,2017.6.6,87.6
"		90",속초,2017.6.7,94.6
"		90",속초,2017.6.8,44.9
"		90",속초,2017.6.9,54.3
"		90",속초,2017.6.10,50.5
"		90",속초,2017.6.11,75.3
"		90",속초,2017.6.12,79.9
"		90",속초,2017.6.13,86.3
"		90",속초,2017.6.14,54.8
"		90",속초,2017.6.15,69.9
"		90",속초,2017.6.16,83.6
"		90",속초,2017.6.17,85
"		90",속초,2017.6.18,88
"		90",속초,2017.6.19,88.1
"		90",속초,2017.6.20,87.5
"		90",속초,2017.6.21,88.6
"		90",속초,2017.6.22,82.9
"		90",속초,2017.6.23,87.6
"		90",속초,2017.6.24,92.1
"		90",속초,2017.6.25,90.1
"		90",속초,2017.6.26,97
"		90",속초,2017.6.27,91.1
"		90",속초,2017.6.28,89.6
"		90",속초,2017.6.29,89.3
"		90",속초,2017.6.30,66
"		90",속초,2017.7.1,53.5
"		90",속초,2017.7.2,88.6
"		90",속초,2017.7.3,91.3
"		90",속초,2017.7.4,94.1
"		90",속초,2017.7.5,88
"		90",속초,2017.7.6,90.1
"		90",속초,2017.7.7,93.8
"		90",속초,2017.7.8,94.4
"		90",속초,2017.7.9,75.6
"		90",속초,2017.7.10,94.6
"		90",속초,2017.7.11,63.4
"		90",속초,2017.7.12,60.5
"		90",속초,2017.7.13,68.9
"		90",속초,2017.7.14,62.4
"		90",속초,2017.7.15,69.8
"		90",속초,2017.7.16,64
"		90",속초,2017.7.17,58.9
"		90",속초,2017.7.18,66
"		90",속초,2017.7.19,78
"		90",속초,2017.7.20,77.3
"		90",속초,2017.7.21,71.6
"		90",속초,2017.7.22,94.4
"		90",속초,2017.7.23,97.8
"		90",속초,2017.7.24,97.1
"		90",속초,2017.7.25,93.5
"		90",속초,2017.7.26,80.9
"		90",속초,2017.7.27,86
"		90",속초,2017.7.28,96
"		90",속초,2017.7.29,91.8
"		90",속초,2017.7.30,88.5
"		90",속초,2017.7.31,88.9
"		90",속초,2017.8.1,88.5
"		90",속초,2017.8.2,87.5
"		90",속초,2017.8.3,86.5
"		90",속초,2017.8.4,89.4
"		90",속초,2017.8.5,90.5
"		90",속초,2017.8.6,92.3
"		90",속초,2017.8.7,88.6
"		90",속초,2017.8.8,79.4
"		90",속초,2017.8.9,91
"		90",속초,2017.8.10,97.6
"		90",속초,2017.8.11,91.9
"		90",속초,2017.8.12,85.8
"		90",속초,2017.8.13,83.3
"		90",속초,2017.8.14,86
"		90",속초,2017.8.15,95.3
"		90",속초,2017.8.16,91.6
"		90",속초,2017.8.17,98.5
"		90",속초,2017.8.18,97.5
"		90",속초,2017.8.19,97.6
"		90",속초,2017.8.20,98.3
"		90",속초,2017.8.21,96.8
"		90",속초,2017.8.22,80.1
"		90",속초,2017.8.23,82.5
"		90",속초,2017.8.24,70.1
"		90",속초,2017.8.25,61.1
"		90",속초,2017.8.26,44.5
"		90",속초,2017.8.27,74.8
"		90",속초,2017.8.28,81.6
"		90",속초,2017.8.29,68.4
"		90",속초,2017.8.30,59.8
"		90",속초,2017.8.31,68.4
"		90",속초,2017.9.1,73.6
"		90",속초,2017.9.2,72.9
"		90",속초,2017.9.3,72.1
"		90",속초,2017.9.4,78.9
"		90",속초,2017.9.5,80.5
"		90",속초,2017.9.6,74.8
"		90",속초,2017.9.7,76.3
"		90",속초,2017.9.8,79.4
"		90",속초,2017.9.9,75.1
"		90",속초,2017.9.10,86.4
"		90",속초,2017.9.11,85.6
"		90",속초,2017.9.12,74.1
"		90",속초,2017.9.13,63.5
"		90",속초,2017.9.14,72
"		90",속초,2017.9.15,69.5
"		90",속초,2017.9.16,69.9
"		90",속초,2017.9.17,84.8
"		90",속초,2017.9.18,59.4
"		90",속초,2017.9.19,64.1
"		90",속초,2017.9.20,50.3
"		90",속초,2017.9.21,65.4
"		90",속초,2017.9.22,71.1
"		90",속초,2017.9.23,65
"		90",속초,2017.9.24,71.3
"		90",속초,2017.9.25,74
"		90",속초,2017.9.26,83
"		90",속초,2017.9.27,87.1
"		90",속초,2017.9.28,56.5
"		90",속초,2017.9.29,32
"		90",속초,2017.9.30,48.8
"		90",속초,2017.10.1,50.3
"		90",속초,2017.10.2,82.1
"		90",속초,2017.10.3,85.1
"		90",속초,2017.10.4,76.8
"		90",속초,2017.10.5,77.8
"		90",속초,2017.10.6,90.6
"		90",속초,2017.10.7,92.1
"		90",속초,2017.10.8,91.1
"		90",속초,2017.10.9,91.4
"		90",속초,2017.10.10,95.3
"		90",속초,2017.10.11,88.5
"		90",속초,2017.10.12,77.3
"		90",속초,2017.10.13,75.8
"		90",속초,2017.10.14,48.1
"		90",속초,2017.10.15,63.5
"		90",속초,2017.10.16,72.5
"		90",속초,2017.10.17,76.6
"		90",속초,2017.10.18,75.9
"		90",속초,2017.10.19,81.9
"		90",속초,2017.10.20,79
"		90",속초,2017.10.21,78.8
"		90",속초,2017.10.22,71.9
"		90",속초,2017.10.23,64.1
"		90",속초,2017.10.24,66.8
"		90",속초,2017.10.25,63
"		90",속초,2017.10.26,66.6
"		90",속초,2017.10.27,70.1
"		90",속초,2017.10.28,83.3
"		90",속초,2017.10.29,72.6
"		90",속초,2017.10.30,48.9
"		90",속초,2017.10.31,37.1
"		90",속초,2017.11.1,48.6
"		90",속초,2017.11.2,59.1
"		90",속초,2017.11.3,81
"		90",속초,2017.11.4,56.1
"		90",속초,2017.11.5,38.3
"		90",속초,2017.11.6,44.6
"		90",속초,2017.11.7,52.3
"		90",속초,2017.11.8,37.6
"		90",속초,2017.11.9,61.1
"		90",속초,2017.11.10,47.1
"		90",속초,2017.11.11,42.9
"		90",속초,2017.11.12,42.3
"		90",속초,2017.11.13,48.8
"		90",속초,2017.11.14,28
"		90",속초,2017.11.15,28.8
"		90",속초,2017.11.16,25.3
"		90",속초,2017.11.17,37.9
"		90",속초,2017.11.18,40.9
"		90",속초,2017.11.19,21.6
"		90",속초,2017.11.20,37.4
"		90",속초,2017.11.21,36.1
"		90",속초,2017.11.22,47.8
"		90",속초,2017.11.23,29
"		90",속초,2017.11.24,34.4
"		90",속초,2017.11.25,56.5
"		90",속초,2017.11.26,53.6
"		90",속초,2017.11.27,56.6
"		90",속초,2017.11.28,50.9
"		90",속초,2017.11.29,38.3
"		90",속초,2017.11.30,17.6
"		90",속초,2017.12.1,28.5
"		90",속초,2017.12.2,36.1
"		90",속초,2017.12.3,55.1
"		90",속초,2017.12.4,31.8
"		90",속초,2017.12.5,25
"		90",속초,2017.12.6,47.4
"		90",속초,2017.12.7,36.4
"		90",속초,2017.12.8,34.4
"		90",속초,2017.12.9,37.3
"		90",속초,2017.12.10,50.8
"		90",속초,2017.12.11,22
"		90",속초,2017.12.12,20.1
"		90",속초,2017.12.13,24.1
"		90",속초,2017.12.14,40.1
"		90",속초,2017.12.15,31.8
"		90",속초,2017.12.16,28.3
"		90",속초,2017.12.17,26.5
"		90",속초,2017.12.18,51.8
"		90",속초,2017.12.19,26.6
"		90",속초,2017.12.20,43
"		90",속초,2017.12.21,42.4
"		90",속초,2017.12.22,47.5
"		90",속초,2017.12.23,43.1
"		90",속초,2017.12.24,70.6
"		90",속초,2017.12.25,37.4
"		90",속초,2017.12.26,27.4
"		90",속초,2017.12.27,19.6
"		90",속초,2017.12.28,40.5
"		90",속초,2017.12.29,49.6
"		90",속초,2017.12.30,68.6
"		90",속초,2017.12.31,33.5
"		90",속초,2018.1.1,21.3
"		90",속초,2018.1.2,21.8
"		90",속초,2018.1.3,29.9
"		90",속초,2018.1.4,53.3
"		90",속초,2018.1.5,45.4
"		90",속초,2018.1.6,32.4
"		90",속초,2018.1.7,50.1
"		90",속초,2018.1.8,48.9
"		90",속초,2018.1.9,40.1
"		90",속초,2018.1.10,32
"		90",속초,2018.1.11,34.1
"		90",속초,2018.1.12,29
"		90",속초,2018.1.13,42
"		90",속초,2018.1.14,47.1
"		90",속초,2018.1.15,45.1
"		90",속초,2018.1.16,47.3
"		90",속초,2018.1.17,70.5
"		90",속초,2018.1.18,31.9
"		90",속초,2018.1.19,25.8
"		90",속초,2018.1.20,41.4
"		90",속초,2018.1.21,31.8
"		90",속초,2018.1.22,66.6
"		90",속초,2018.1.23,30.3
"		90",속초,2018.1.24,23.5
"		90",속초,2018.1.25,28
"		90",속초,2018.1.26,25.3
"		90",속초,2018.1.27,28.9
"		90",속초,2018.1.28,22.3
"		90",속초,2018.1.29,23.3
"		90",속초,2018.1.30,34.4
"		90",속초,2018.1.31,31.5
"		90",속초,2018.2.1,40.3
"		90",속초,2018.2.2,58.3
"		90",속초,2018.2.3,33.8
"		90",속초,2018.2.4,31
"		90",속초,2018.2.5,26
"		90",속초,2018.2.6,28.6
"		90",속초,2018.2.7,26.8
"		90",속초,2018.2.8,23
"		90",속초,2018.2.9,40.6
"		90",속초,2018.2.10,30.6
"		90",속초,2018.2.11,19.8
"		90",속초,2018.2.12,24.9
"		90",속초,2018.2.13,33.3
"		90",속초,2018.2.14,37.5
"		90",속초,2018.2.15,41.6
"		90",속초,2018.2.16,32.1
"		90",속초,2018.2.17,20.6
"		90",속초,2018.2.18,33.4
"		90",속초,2018.2.19,46.1
"		90",속초,2018.2.20,30.9
"		90",속초,2018.2.21,30.5
"		90",속초,2018.2.22,35.9
"		90",속초,2018.2.23,55
"		90",속초,2018.2.24,80.5
"		90",속초,2018.2.25,83.3
"		90",속초,2018.2.26,72.6
"		90",속초,2018.2.27,79
"		90",속초,2018.2.28,96.8
"		90",속초,2018.3.1,57.9
"		90",속초,2018.3.2,38.4
"		90",속초,2018.3.3,47.9
"		90",속초,2018.3.4,78.8
"		90",속초,2018.3.5,82.5
"		90",속초,2018.3.6,77.1
"		90",속초,2018.3.7,84.8
"		90",속초,2018.3.8,90.8
"		90",속초,2018.3.9,80.1
"		90",속초,2018.3.10,66.1
"		90",속초,2018.3.11,62.5
"		90",속초,2018.3.12,64.3
"		90",속초,2018.3.13,30.8
"		90",속초,2018.3.14,52.6
"		90",속초,2018.3.15,69.6
"		90",속초,2018.3.16,63.1
"		90",속초,2018.3.17,66
"		90",속초,2018.3.18,59.9
"		90",속초,2018.3.19,72
"		90",속초,2018.3.20,56.6
"		90",속초,2018.3.21,63.5
"		90",속초,2018.3.22,52.8
"		90",속초,2018.3.23,55.1
"		90",속초,2018.3.24,35.3
"		90",속초,2018.3.25,24
"		90",속초,2018.3.26,28.9
"		90",속초,2018.3.27,34.3
"		90",속초,2018.3.28,33
"		90",속초,2018.3.29,62
"		90",속초,2018.3.30,77.4
"		90",속초,2018.3.31,66.8
"		90",속초,2018.4.1,51.3
"		90",속초,2018.4.2,61.9
"		90",속초,2018.4.3,69.4
"		90",속초,2018.4.4,89.9
"		90",속초,2018.4.5,93.9
"		90",속초,2018.4.6,72.4
"		90",속초,2018.4.7,40.6
"		90",속초,2018.4.8,53
"		90",속초,2018.4.9,49.6
"		90",속초,2018.4.10,50.3
"		90",속초,2018.4.11,30.4
"		90",속초,2018.4.12,32.3
"		90",속초,2018.4.13,57.9
"		90",속초,2018.4.14,91.6
"		90",속초,2018.4.15,51.3
"		90",속초,2018.4.16,58
"		90",속초,2018.4.17,67.4
"		90",속초,2018.4.18,34.5
"		90",속초,2018.4.19,23.4
"		90",속초,2018.4.20,60.6
"		90",속초,2018.4.21,25.6
"		90",속초,2018.4.22,59.6
"		90",속초,2018.4.23,93.6
"		90",속초,2018.4.24,87.1
"		90",속초,2018.4.25,65.4
"		90",속초,2018.4.26,51.4
"		90",속초,2018.4.27,49.3
"		90",속초,2018.4.28,42
"		90",속초,2018.4.29,30.5
"		90",속초,2018.4.30,51.9
"		90",속초,2018.5.1,85.1
"		90",속초,2018.5.2,89
"		90",속초,2018.5.3,57.5
"		90",속초,2018.5.4,28.6
"		90",속초,2018.5.5,34.3
"		90",속초,2018.5.6,88.1
"		90",속초,2018.5.7,89.6
"		90",속초,2018.5.8,95.9
"		90",속초,2018.5.9,81.5
"		90",속초,2018.5.10,69.4
"		90",속초,2018.5.11,54.6
"		90",속초,2018.5.12,83
"		90",속초,2018.5.13,82.4
"		90",속초,2018.5.14,63.6
"		90",속초,2018.5.15,50.4
"		90",속초,2018.5.16,79.4
"		90",속초,2018.5.17,91.6
"		90",속초,2018.5.18,91.6
"		90",속초,2018.5.19,76.3
"		90",속초,2018.5.20,80.4
"		90",속초,2018.5.21,80.3
"		90",속초,2018.5.22,89.1
"		90",속초,2018.5.23,75.6
"		90",속초,2018.5.24,31.8
"		90",속초,2018.5.25,55.3
"		90",속초,2018.5.26,88.3
"		90",속초,2018.5.27,92.6
"		90",속초,2018.5.28,87.6
"		90",속초,2018.5.29,92.6
"		90",속초,2018.5.30,90.5
"		90",속초,2018.5.31,63.9
"		90",속초,2018.6.1,61.9
"		90",속초,2018.6.2,61.4
"		90",속초,2018.6.3,45.6
"		90",속초,2018.6.4,53.3
"		90",속초,2018.6.5,57
"		90",속초,2018.6.6,65.3
"		90",속초,2018.6.7,55.5
"		90",속초,2018.6.8,69.8
"		90",속초,2018.6.9,87.6
"		90",속초,2018.6.10,93.5
"		90",속초,2018.6.11,86.9
"		90",속초,2018.6.12,75.1
"		90",속초,2018.6.13,84
"		90",속초,2018.6.14,86.1
"		90",속초,2018.6.15,88.6
"		90",속초,2018.6.16,81.1
"		90",속초,2018.6.17,83.4
"		90",속초,2018.6.18,88.8
"		90",속초,2018.6.19,78.6
"		90",속초,2018.6.20,72.9
"		90",속초,2018.6.21,52.4
"		90",속초,2018.6.22,38.4
"		90",속초,2018.6.23,50.1
"		90",속초,2018.6.24,51.9
"		90",속초,2018.6.25,82.5
"		90",속초,2018.6.26,95.4
"		90",속초,2018.6.27,74.1
"		90",속초,2018.6.28,75.8
"		90",속초,2018.6.29,84.5
"		90",속초,2018.6.30,90.4
"		90",속초,2018.7.1,97.6
"		90",속초,2018.7.2,96
"		90",속초,2018.7.3,90.3
"		90",속초,2018.7.4,94.3
"		90",속초,2018.7.5,96.9
"		90",속초,2018.7.6,91
"		90",속초,2018.7.7,84.6
"		90",속초,2018.7.8,77.1
"		90",속초,2018.7.9,89.6
"		90",속초,2018.7.10,96.8
"		90",속초,2018.7.11,97.6
"		90",속초,2018.7.12,77.5
"		90",속초,2018.7.13,68.4
"		90",속초,2018.7.14,71.9
"		90",속초,2018.7.15,65.1
"		90",속초,2018.7.16,67.3
"		90",속초,2018.7.17,56.9
"		90",속초,2018.7.18,84.5
"		90",속초,2018.7.19,82.9
"		90",속초,2018.7.20,71.6
"		90",속초,2018.7.21,65.4
"		90",속초,2018.7.22,64.6
"		90",속초,2018.7.23,74.1
"		90",속초,2018.7.24,83
"		90",속초,2018.7.25,84.3
"		90",속초,2018.7.26,71.4
"		90",속초,2018.7.27,80.9
"		90",속초,2018.7.28,88.9
"		90",속초,2018.7.29,83.9
"		90",속초,2018.7.30,89
"		90",속초,2018.7.31,81.5
"		90",속초,2018.8.1,84.8
"		90",속초,2018.8.2,83.6
"		90",속초,2018.8.3,83.5
"		90",속초,2018.8.4,67.9
"		90",속초,2018.8.5,67.9
"		90",속초,2018.8.6,96.9
"		90",속초,2018.8.7,87.9
"		90",속초,2018.8.8,90.5
"		90",속초,2018.8.9,89.6
"		90",속초,2018.8.10,95.1
"		90",속초,2018.8.11,85.8
"		90",속초,2018.8.12,88.1
"		90",속초,2018.8.13,90.1
"		90",속초,2018.8.14,80.9
"		90",속초,2018.8.15,89
"		90",속초,2018.8.16,77
"		90",속초,2018.8.17,74.9
"		90",속초,2018.8.18,73.6
"		90",속초,2018.8.19,79.8
"		90",속초,2018.8.20,81
"		90",속초,2018.8.21,66.3
"		90",속초,2018.8.22,73
"		90",속초,2018.8.23,88.4
"		90",속초,2018.8.24,94.8
"		90",속초,2018.8.25,70.6
"		90",속초,2018.8.26,68.5
"		90",속초,2018.8.27,86.6
"		90",속초,2018.8.28,88.6
"		90",속초,2018.8.29,90.6
"		90",속초,2018.8.30,72.8
"		90",속초,2018.8.31,77.8
"		90",속초,2018.9.1,76.9
"		90",속초,2018.9.2,76.6
"		90",속초,2018.9.3,90.9
"		90",속초,2018.9.4,81.1
"		90",속초,2018.9.5,45.1
"		90",속초,2018.9.6,57.5
"		90",속초,2018.9.7,63.9
"		90",속초,2018.9.8,60.5
"		90",속초,2018.9.9,75.6
"		90",속초,2018.9.10,68.4
"		90",속초,2018.9.11,71.3
"		90",속초,2018.9.12,76.8
"		90",속초,2018.9.13,84.3
"		90",속초,2018.9.14,86.8
"		90",속초,2018.9.15,88.8
"		90",속초,2018.9.16,90
"		90",속초,2018.9.17,69.1
"		90",속초,2018.9.18,77.4
"		90",속초,2018.9.19,82.5
"		90",속초,2018.9.20,93.6
"		90",속초,2018.9.21,95.1
"		90",속초,2018.9.22,54.5
"		90",속초,2018.9.23,50
"		90",속초,2018.9.24,54.8
"		90",속초,2018.9.25,63.9
"		90",속초,2018.9.26,62.4
"		90",속초,2018.9.27,65.4
"		90",속초,2018.9.28,73.4
"		90",속초,2018.9.29,79
"		90",속초,2018.9.30,65.4
"		90",속초,2018.10.1,46.1
"		90",속초,2018.10.2,60
"		90",속초,2018.10.3,61.3
"		90",속초,2018.10.4,77.3
"		90",속초,2018.10.5,90.5
"		90",속초,2018.10.6,95.1
"		90",속초,2018.10.7,59.3
"		90",속초,2018.10.8,44.5
"		90",속초,2018.10.9,55.3
"		90",속초,2018.10.10,50.8
"		90",속초,2018.10.11,41.5
"		90",속초,2018.10.12,58.8
"		90",속초,2018.10.13,62.8
"		90",속초,2018.10.14,50.6
"		90",속초,2018.10.15,61.8
"		90",속초,2018.10.16,66.8
"		90",속초,2018.10.17,92.1
"		90",속초,2018.10.18,76.8
"		90",속초,2018.10.19,69.4
"		90",속초,2018.10.20,66.3
"		90",속초,2018.10.21,62.3
"		90",속초,2018.10.22,70.8
"		90",속초,2018.10.23,57.9
"		90",속초,2018.10.24,55.8
"		90",속초,2018.10.25,57.1
"		90",속초,2018.10.26,59.3
"		90",속초,2018.10.27,38.6
"		90",속초,2018.10.28,58.4
"		90",속초,2018.10.29,41.9
"		90",속초,2018.10.30,49.6
"		90",속초,2018.10.31,53.1
"		90",속초,2018.11.1,52.6
"		90",속초,2018.11.2,54.8
"		90",속초,2018.11.3,55.3
"		90",속초,2018.11.4,57.9
"		90",속초,2018.11.5,76.1
"		90",속초,2018.11.6,83.3
"		90",속초,2018.11.7,95.4
"		90",속초,2018.11.8,96.3
"		90",속초,2018.11.9,51.5
"		90",속초,2018.11.10,48.6
"		90",속초,2018.11.11,62.3
"		90",속초,2018.11.12,73.3
"		90",속초,2018.11.13,87.3
"		90",속초,2018.11.14,87.6
"		90",속초,2018.11.15,71.1
"		90",속초,2018.11.16,60.3
"		90",속초,2018.11.17,70.5
"		90",속초,2018.11.18,36.6
"		90",속초,2018.11.19,49.8
"		90",속초,2018.11.20,32.9
"		90",속초,2018.11.21,47.1
"		90",속초,2018.11.22,24.4
"		90",속초,2018.11.23,31.9
"		90",속초,2018.11.24,63
"		90",속초,2018.11.25,50.8
"		90",속초,2018.11.26,49.8
"		90",속초,2018.11.27,44.4
"		90",속초,2018.11.28,33.5
"		90",속초,2018.11.29,33.4
"		90",속초,2018.11.30,37.6
"		90",속초,2018.12.1,52.3
"		90",속초,2018.12.2,63.9
"		90",속초,2018.12.3,83.8
"		90",속초,2018.12.4,83.9
"		90",속초,2018.12.5,49.9
"		90",속초,2018.12.6,64.4
"		90",속초,2018.12.7,22.3
