Experiment_Name,Test_Accuracy_Adj,Test_Precision_Adj,Test_Recall_Adj,Test_F1_Score_Adj,Test_ROC_AUC,Optimal_Threshold,Best_Params
RF_SMOTE_RecallScoring,0.7068965517241379,0.42105263157894735,0.691358024691358,0.5233644859813084,0.7389836778101447,0.36292843272450165,"{'class_weight': None, 'max_depth': 13, 'max_features': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 476}"
RF_NoSMOTE_Balanced_F1Scoring,0.7672413793103449,0.5,0.5679012345679012,0.5317919075144508,0.7822629121006149,0.47669290282470517,"{'class_weight': 'balanced', 'max_depth': 6, 'max_features': 'sqrt', 'min_samples_leaf': 10, 'min_samples_split': 7, 'n_estimators': 346}"
RF_SMOTE_F1Scoring,0.7097701149425287,0.4253731343283582,0.7037037037037037,0.5302325581395348,0.7686687936375826,0.34124174180353956,"{'class_weight': None, 'max_depth': 18, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 4, 'n_estimators': 333}"
LGBM_SMOTE_RecallScoring,0.6781609195402298,0.3931034482758621,0.7037037037037037,0.504424778761062,0.7275627687612706,0.2771129513708703,"{'colsample_bytree': 0.9086111001006079, 'learning_rate': 0.06552008115994623, 'max_depth': 14, 'min_child_samples': 6, 'n_estimators': 484, 'num_leaves': 57, 'reg_alpha': 1.9308387025775873, 'reg_lambda': 1.1165869072141952, 'subsample': 0.9530545372757359}"
LGBM_NoSMOTE_Balanced_F1Scoring,0.7183908045977011,0.4330708661417323,0.6790123456790124,0.5288461538461539,0.7708420030517409,0.4239813933761569,"{'colsample_bytree': 0.9707324043882626, 'learning_rate': 0.04861026378007743, 'max_depth': 3, 'min_child_samples': 44, 'n_estimators': 429, 'num_leaves': 52, 'reg_alpha': 0.3915822695785929, 'reg_lambda': 0.1387226017503309, 'subsample': 0.6403112005509707}"
LGBM_SMOTE_F1Scoring,0.6781609195402298,0.3931034482758621,0.7037037037037037,0.504424778761062,0.7275627687612706,0.2771129513708703,"{'colsample_bytree': 0.9086111001006079, 'learning_rate': 0.06552008115994623, 'max_depth': 14, 'min_child_samples': 6, 'n_estimators': 484, 'num_leaves': 57, 'reg_alpha': 1.9308387025775873, 'reg_lambda': 1.1165869072141952, 'subsample': 0.9530545372757359}"
XGB_SMOTE_RecallScoring,0.7155172413793104,0.4318181818181818,0.7037037037037037,0.5352112676056338,0.7682988856521941,0.18920280039310455,"{'colsample_bytree': 0.7351503172230192, 'gamma': 0.4917115704474215, 'learning_rate': 0.04988244424445531, 'max_depth': 9, 'min_child_weight': 1, 'n_estimators': 300, 'reg_alpha': 0.6415601299434717, 'reg_lambda': 0.37303702079970846, 'subsample': 0.6163100566219055}"
XGB_NoSMOTE_Balanced_F1Scoring,0.7442528735632183,0.46551724137931033,0.6666666666666666,0.5482233502538071,0.787534100892403,0.4510559141635895,"{'colsample_bytree': 0.6594878151468806, 'gamma': 0.4224376554847273, 'learning_rate': 0.012327193573582588, 'max_depth': 4, 'min_child_weight': 3, 'n_estimators': 204, 'reg_alpha': 0.9920749085868124, 'reg_lambda': 1.3857807173838788, 'subsample': 0.739334641781279}"
XGB_SMOTE_F1Scoring,0.7155172413793104,0.4318181818181818,0.7037037037037037,0.5352112676056338,0.7682988856521941,0.18920280039310455,"{'colsample_bytree': 0.7351503172230192, 'gamma': 0.4917115704474215, 'learning_rate': 0.04988244424445531, 'max_depth': 9, 'min_child_weight': 1, 'n_estimators': 300, 'reg_alpha': 0.6415601299434717, 'reg_lambda': 0.37303702079970846, 'subsample': 0.6163100566219055}"
