순번,국립공원,사무소,관리지구,탐방지역,일자,전체 탐방객수
93,설악산,설악산,장수대지구,한계령,2018.1.8,39
94,설악산,설악산,백담지구,남교리,2018.1.8,9
95,설악산,설악산,백담지구,백담,2018.1.8,78
96,설악산,설악산,점봉산,점봉산(곰배령),2018.1.8,0
97,설악산,설악산,설악동,설악동,2018.1.9,1019
98,설악산,설악산,설악동,설악동 야영장,2018.1.9,6
99,설악산,설악산,설악동,설악동 탐방안내소,2018.1.9,0
100,설악산,설악산,오색지구,남설악,2018.1.9,12
101,설악산,설악산,오색지구,약수터입구,2018.1.9,46
102,설악산,설악산,오색지구,용소폭포,2018.1.9,10
103,설악산,설악산,오색지구,흘림골,2018.1.9,0
104,설악산,설악산,장수대지구,장수대,2018.1.9,1
105,설악산,설악산,장수대지구,한계령,2018.1.9,16
106,설악산,설악산,백담지구,남교리,2018.1.9,2
107,설악산,설악산,백담지구,백담,2018.1.9,53
108,설악산,설악산,점봉산,점봉산(곰배령),2018.1.9,0
109,설악산,설악산,설악동,설악동,2018.1.10,2191
110,설악산,설악산,설악동,설악동 야영장,2018.1.10,3
111,설악산,설악산,설악동,설악동 탐방안내소,2018.1.10,0
112,설악산,설악산,오색지구,남설악,2018.1.10,22
113,설악산,설악산,오색지구,약수터입구,2018.1.10,38
114,설악산,설악산,오색지구,용소폭포,2018.1.10,10
115,설악산,설악산,오색지구,흘림골,2018.1.10,0
116,설악산,설악산,장수대지구,장수대,2018.1.10,1
117,설악산,설악산,장수대지구,한계령,2018.1.10,18
118,설악산,설악산,백담지구,남교리,2018.1.10,1
119,설악산,설악산,백담지구,백담,2018.1.10,34
120,설악산,설악산,점봉산,점봉산(곰배령),2018.1.10,19
121,설악산,설악산,설악동,설악동,2018.1.11,2126
122,설악산,설악산,설악동,설악동 야영장,2018.1.11,9
123,설악산,설악산,설악동,설악동 탐방안내소,2018.1.11,0
124,설악산,설악산,오색지구,남설악,2018.1.11,20
125,설악산,설악산,오색지구,약수터입구,2018.1.11,38
126,설악산,설악산,오색지구,용소폭포,2018.1.11,6
127,설악산,설악산,오색지구,흘림골,2018.1.11,0
128,설악산,설악산,장수대지구,장수대,2018.1.11,1
129,설악산,설악산,장수대지구,한계령,2018.1.11,19
130,설악산,설악산,백담지구,남교리,2018.1.11,7
131,설악산,설악산,백담지구,백담,2018.1.11,32
132,설악산,설악산,점봉산,점봉산(곰배령),2018.1.11,50
133,설악산,설악산,설악동,설악동,2018.1.12,3934
134,설악산,설악산,설악동,설악동 야영장,2018.1.12,18
135,설악산,설악산,설악동,설악동 탐방안내소,2018.1.12,0
136,설악산,설악산,오색지구,남설악,2018.1.12,43
137,설악산,설악산,오색지구,약수터입구,2018.1.12,67
138,설악산,설악산,오색지구,용소폭포,2018.1.12,0
139,설악산,설악산,오색지구,흘림골,2018.1.12,0
140,설악산,설악산,장수대지구,장수대,2018.1.12,0
141,설악산,설악산,장수대지구,한계령,2018.1.12,32
142,설악산,설악산,백담지구,남교리,2018.1.12,3
143,설악산,설악산,백담지구,백담,2018.1.12,40
144,설악산,설악산,점봉산,점봉산(곰배령),2018.1.12,10
145,설악산,설악산,설악동,설악동,2018.1.13,6575
146,설악산,설악산,설악동,설악동 야영장,2018.1.13,48
147,설악산,설악산,설악동,설악동 탐방안내소,2018.1.13,0
148,설악산,설악산,오색지구,남설악,2018.1.13,125
149,설악산,설악산,오색지구,약수터입구,2018.1.13,232
150,설악산,설악산,오색지구,용소폭포,2018.1.13,45
151,설악산,설악산,오색지구,흘림골,2018.1.13,0
152,설악산,설악산,장수대지구,장수대,2018.1.13,25
153,설악산,설악산,장수대지구,한계령,2018.1.13,131
154,설악산,설악산,백담지구,남교리,2018.1.13,12
155,설악산,설악산,백담지구,백담,2018.1.13,212
156,설악산,설악산,점봉산,점봉산(곰배령),2018.1.13,64
157,설악산,설악산,설악동,설악동,2018.1.14,6052
158,설악산,설악산,설악동,설악동 야영장,2018.1.14,12
159,설악산,설악산,설악동,설악동 탐방안내소,2018.1.14,0
160,설악산,설악산,오색지구,남설악,2018.1.14,112
161,설악산,설악산,오색지구,약수터입구,2018.1.14,335
162,설악산,설악산,오색지구,용소폭포,2018.1.14,82
163,설악산,설악산,오색지구,흘림골,2018.1.14,0
164,설악산,설악산,장수대지구,장수대,2018.1.14,101
165,설악산,설악산,장수대지구,한계령,2018.1.14,83
166,설악산,설악산,백담지구,남교리,2018.1.14,0
