"	90",속초,2017.5.30,,,
"	90",속초,2017.5.31,,,
"	90",속초,2017.6.1,15,6.8,18:24
"	90",속초,2017.6.2,0.8,0.8,0:01
"	90",속초,2017.6.3,4.3,4.3,6:24
"	90",속초,2017.6.4,1.1,1.1,19:33
"	90",속초,2017.6.5,,,
"	90",속초,2017.6.6,8.8,3.9,21:09
"	90",속초,2017.6.7,3.2,1.2,0:01
"	90",속초,2017.6.8,,,
"	90",속초,2017.6.9,14.1,6.2,20:44
"	90",속초,2017.6.10,0.3,0.3,0:17
"	90",속초,2017.6.11,,,
"	90",속초,2017.6.12,,,
"	90",속초,2017.6.13,3.1,2.7,14:33
"	90",속초,2017.6.14,,,
"	90",속초,2017.6.15,,,
"	90",속초,2017.6.16,,,
"	90",속초,2017.6.17,,,
"	90",속초,2017.6.18,,,
"	90",속초,2017.6.19,,,
"	90",속초,2017.6.20,,,
"	90",속초,2017.6.21,0.9,0.9,4:13
"	90",속초,2017.6.22,,,
"	90",속초,2017.6.23,,,
"	90",속초,2017.6.24,1.5,1,19:27
"	90",속초,2017.6.25,2.2,0.9,17:01
"	90",속초,2017.6.26,14.4,6,6:56
"	90",속초,2017.6.27,,,
"	90",속초,2017.6.28,,,
"	90",속초,2017.6.29,,,
"	90",속초,2017.6.30,,,
"	90",속초,2017.7.1,,,
"	90",속초,2017.7.2,18.8,8.7,5:37
"	90",속초,2017.7.3,49.2,16.4,4:53
"	90",속초,2017.7.4,,,
"	90",속초,2017.7.5,,,
"	90",속초,2017.7.6,,,
"	90",속초,2017.7.7,3.1,2.7,22:56
"	90",속초,2017.7.8,67.6,32.4,8:51
"	90",속초,2017.7.9,,,
"	90",속초,2017.7.10,9.3,3.5,18:17
"	90",속초,2017.7.11,12.5,7.7,0:02
"	90",속초,2017.7.12,,,
"	90",속초,2017.7.13,,,
"	90",속초,2017.7.14,,,
"	90",속초,2017.7.15,1.5,0.9,18:01
"	90",속초,2017.7.16,,,
"	90",속초,2017.7.17,,,
"	90",속초,2017.7.18,,,
"	90",속초,2017.7.19,,,
"	90",속초,2017.7.20,,,
"	90",속초,2017.7.21,18.7,13.4,22:33
"	90",속초,2017.7.22,40.1,8.8,16:56
"	90",속초,2017.7.23,25.2,5.7,4:13
"	90",속초,2017.7.24,9,4.3,10:12
"	90",속초,2017.7.25,2.8,1,12:01
"	90",속초,2017.7.26,,,
"	90",속초,2017.7.27,0,0,
"	90",속초,2017.7.28,7.6,5.5,5:09
"	90",속초,2017.7.29,4.9,1.6,6:23
"	90",속초,2017.7.30,,,
"	90",속초,2017.7.31,,,
"	90",속초,2017.8.1,,,
"	90",속초,2017.8.2,,,
"	90",속초,2017.8.3,,,
"	90",속초,2017.8.4,,,
"	90",속초,2017.8.5,,,
"	90",속초,2017.8.6,3.3,3.1,19:22
"	90",속초,2017.8.7,3.4,1.9,0:38
"	90",속초,2017.8.8,,,
"	90",속초,2017.8.9,6.4,5.3,22:59
"	90",속초,2017.8.10,74.9,12.4,4:15
"	90",속초,2017.8.11,54.4,27.4,3:21
"	90",속초,2017.8.12,0.7,0.7,6:23
"	90",속초,2017.8.13,0,0,
"	90",속초,2017.8.14,1,0.5,3:01
"	90",속초,2017.8.15,65.3,10.9,11:15
"	90",속초,2017.8.16,18.4,12.1,1:39
"	90",속초,2017.8.17,24.3,3.9,13:28
"	90",속초,2017.8.18,89.4,45.3,20:14
"	90",속초,2017.8.19,4.4,1.5,0:18
"	90",속초,2017.8.20,31.1,7.5,7:28
"	90",속초,2017.8.21,18.6,6.3,14:19
"	90",속초,2017.8.22,,,
"	90",속초,2017.8.23,5.2,1.6,12:33
"	90",속초,2017.8.24,20,19.2,13:15
"	90",속초,2017.8.25,,,
"	90",속초,2017.8.26,,,
"	90",속초,2017.8.27,0,0,
